,lon,lat,depth
0,-72.8849,40.7383,1.66748529423741
1,-72.842468,40.750054,1.50064081959081
2,-72.80458,40.7705,2.30197103438071
3,-72.804,40.7778,2.187709023545089
4,-72.7849,40.7542,5.105706802599471
5,-72.7556,40.762,7.377055227142931
6,-72.7533,40.7699,5.270145752609958
7,-72.7484,40.7846,1.19785033079416
8,-72.747701,40.798979,2.15084589703098
9,-72.72677,40.807085,2.01798358923644
10,-72.7147,40.7733,4.701956752896026
11,-72.7,40.795,2.07019632779434
12,-72.68511,40.78932,1.627066302957848
13,-72.66966,40.800957,1.792857436166545
14,-72.889867,40.716171,10.13552331337903
15,-72.873377,40.721688,10.10486075830058
16,-72.883003,40.725237,3.72368020063808
17,-72.856583,40.726645,10.641660915069
18,-72.866265,40.73033,4.32605584884285
19,-72.839624,40.73127,10.40006634038671
20,-72.849449,40.735275,4.00822832316839
21,-72.822906,40.736379,9.951106024977728
22,-72.832732,40.740412,4.160505393761985
23,-72.806151,40.741422,10.62849359932437
24,-72.81596,40.745447,2.824708033091464
25,-72.789299,40.746276,10.50774838702299
26,-72.79923,40.750562,3.68643174680862
27,-72.772359,40.750952,10.19114266828984
28,-72.78222,40.754953,4.70442216840008
29,-72.755262,40.755287,8.159715657359598
30,-72.764499,40.757138,3.858620502594692
31,-72.738444,40.760211,9.82385326786676
32,-72.747865,40.76241,4.47919838752077
33,-72.721846,40.765552,9.74846772094096
34,-72.731751,40.768554,3.951846872337175
35,-72.704609,40.769529,10.38921642659615
36,-72.715035,40.7737,3.749607630005649
37,-72.687713,40.774294,9.9901923284454
38,-72.698035,40.778284,4.251479926510171
39,-72.670915,40.77927,9.338425841925108
40,-72.680904,40.782577,3.897884842247824
41,-72.654079,40.784175,10.02507656308338
42,-72.66398,40.787327,3.382222013184886
43,-72.637416,40.789409,9.17214773664843
44,-72.64698,40.791922,4.130972622707729
45,-72.75,40.786667,1.38732847845105
46,-72.868333,40.738333,2.949012507902048
47,-72.6472,40.7182,29.75477625981574
48,-72.88957,40.76029,0.3025495363644516
49,-72.88692,40.75291,1.78320724494095
50,-72.8828,40.7436,1.213276491689292
51,-72.88759,40.72354,3.60795926526834
52,-72.86123,40.73231,3.491067158491614
53,-72.87284,40.72826,4.314609813191121
54,-72.84894,40.73582,3.309270195862659
55,-72.83246,40.74084,3.58266829794827
56,-72.81632,40.74609,1.83990441996731
57,-72.79834,40.75221,1.977968752731682
58,-72.77391,40.75881,1.609578264343081
59,-72.76157,40.76204,1.4237930316875
60,-72.7545,40.7653,6.151253316655443
61,-72.74273,40.76618,3.59716370025874
62,-72.72731,40.77071,3.78398725352237
63,-72.71131,40.77471,3.809883456155255
64,-72.69646,40.77886,3.65935264319116
65,-72.68056,40.78372,1.77593512746569
66,-72.66281,40.7876,3.771918894430716
67,-72.8726,40.7352,3.19014357084236
68,-72.8368,40.745,-0.284102529192307
69,-72.8899,40.7746,-1.06999999299999
70,-72.88491,40.79038,-1.081958440184126
71,-72.8722,40.7467,-1.09408949804129
72,-72.8554,40.7463,-0.3325311717220922
73,-72.8284,40.764,-1.09881464997567
74,-72.812,40.7697,-0.07022224361675099
75,-72.8218,40.7724,-1.127028864
76,-72.83085,40.80142,-1.070000153500005
77,-72.82731,40.79198,1.73363679964765
78,-72.82,40.7848,2.04748016514385
79,-72.812,40.7781,2.47425538432721
80,-72.8072,40.7644,2.834480365935554
81,-72.8165,40.7573,2.81804753504572
82,-72.83375,40.75326,2.592802831410672
83,-72.8426,40.74665,2.91719565857791
84,-72.85546,40.74022,3.97106984069097
85,-72.8213,40.7507,1.62680237691423
86,-72.80383,40.75274,-1.93894241603512
87,-72.78779,40.75452,3.878263934916363
88,-72.7966,40.7662,1.952024034993321
89,-72.7983,40.7786,2.76609372833917
90,-72.7864,40.7777,2.92460131054177
91,-72.7713,40.7764,2.95229172953614
92,-72.7736,40.7671,1.472186562555959
93,-72.8041,40.7843,0.115069122625
94,-72.7731,40.7843,-0.595564002834822
95,-72.774,40.7932,-1.110154812761334
96,-72.8001,40.7918,-1.35087469985137
97,-72.75073,40.77423,0.01000000042999999
98,-72.743,40.7764,4.884713966099882
99,-72.7575,40.78991,1.657202093927661
100,-72.7488,40.7985,2.01117384973465
101,-72.7351,40.7914,2.688077141758943
102,-72.7187,40.7923,2.73194656860265
103,-72.7041,40.7923,2.671106868891441
104,-72.6878,40.7949,2.59373817829774
105,-72.6705,40.798,1.980034327791804
106,-72.72658,40.80396,2.24715956773328
107,-72.72622,40.81252,1.5000824419855
108,-72.7293,40.821,-1.33480732290096
109,-72.732,40.7772,0.2348033431816
110,-72.7156,40.7808,1.36001991596904
111,-72.6838,40.787,0.04658723403289682
112,-72.7479,40.7706,1.70676094203584
113,-72.8368,40.756,-0.485407767023716
114,-72.8465,40.7582,-1.186155825686
115,-72.6931,40.8029,-0.14264203512225
116,-72.6661,40.8069,1.083974537278261
117,-72.6776,40.8011,1.19588165431296
118,-72.6625,40.8179,-1.720269651441198
119,-72.659,40.7976,2.378011916559222
120,-72.6493,40.7971,1.881382259836712
121,-72.63876,40.80166,1.97017191270614
122,-72.6493,40.8033,-1.647038907052287
123,-72.6311,40.81,1.07269833010162
124,-72.64851,40.79171,3.55060066718817
125,-72.63526,40.79604,1.59038568096878
126,-72.8529,40.7816,-6.069999093000029
127,-72.80311,40.74999,3.29863278528278
128,-72.75188,40.76411,1.11455172834078
129,-72.75246,40.76214,2.886733237554437
130,-72.75743,40.7605,5.072695959790479
131,-72.75415,40.77047,5.0018925518624
132,-72.84632,40.74152,1.757125374201329
133,-72.75266,40.7813,2.58619028435784
134,-72.74452,40.78555,1.144157384452986
135,-72.63487,40.80042,-0.1412930706392425
136,-72.63003,40.80018,1.72933197135542
