"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"1938/09/17","00:00","-0.536","-","-0.728"
"1938/09/17","01:00","-0.459","-","-0.667"
"1938/09/17","02:00","-0.231","-","-0.484"
"1938/09/17","03:00","0.07","-","-0.24"
"1938/09/17","04:00","0.339","-","0.003"
"1938/09/17","05:00","0.523","-","0.278"
"1938/09/17","06:00","0.587","-","0.339"
"1938/09/17","07:00","0.482","-","0.217"
"1938/09/17","08:00","0.215","-","-0.057"
"1938/09/17","09:00","-0.105","-","-0.301"
"1938/09/17","10:00","-0.359","-","-0.484"
"1938/09/17","11:00","-0.508","-","-0.637"
"1938/09/17","12:00","-0.56","-","-0.698"
"1938/09/17","13:00","-0.483","-","-0.606"
"1938/09/17","14:00","-0.239","-","-0.393"
"1938/09/17","15:00","0.117","-","-0.057"
"1938/09/17","16:00","0.463","-","0.247"
"1938/09/17","17:00","0.711","-","0.522"
"1938/09/17","18:00","0.83","-","0.644"
"1938/09/17","19:00","0.787","-","0.613"
"1938/09/17","20:00","0.572","-","0.43"
"1938/09/17","21:00","0.254","-","0.125"
"1938/09/17","22:00","-0.048","-","-0.118"
"1938/09/17","23:00","-0.279","-","-0.362"
"1938/09/18","00:00","-0.454","-","-0.515"
"1938/09/18","01:00","-0.556","-","-0.606"
"1938/09/18","02:00","-0.509","-","-0.576"
"1938/09/18","03:00","-0.291","-","-0.393"
"1938/09/18","04:00","0.019","-","-0.118"
"1938/09/18","05:00","0.311","-","0.156"
"1938/09/18","06:00","0.522","-","0.4"
"1938/09/18","07:00","0.604","-","0.491"
"1938/09/18","08:00","0.509","-","0.308"
"1938/09/18","09:00","0.256","-","0.034"
"1938/09/18","10:00","-0.044","-","-0.21"
"1938/09/18","11:00","-0.291","-","-0.423"
"1938/09/18","12:00","-0.468","-","-0.606"
"1938/09/18","13:00","-0.569","-","-0.698"
"1938/09/18","14:00","-0.531","-","-0.667"
"1938/09/18","15:00","-0.302","-","-0.454"
"1938/09/18","16:00","0.059","-","-0.149"
"1938/09/18","17:00","0.422","-","0.156"
"1938/09/18","18:00","0.695","-","0.339"
"1938/09/18","19:00","0.837","-","0.583"
"1938/09/18","20:00","0.809","-","0.613"
"1938/09/18","21:00","0.607","-","0.43"
"1938/09/18","22:00","0.306","-","0.125"
"1938/09/18","23:00","0.009","-","-0.179"
"1938/09/19","00:00","-0.249","-","-0.423"
"1938/09/19","01:00","-0.478","-","-0.637"
"1938/09/19","02:00","-0.626","-","-0.759"
"1938/09/19","03:00","-0.592","-","-0.759"
"1938/09/19","04:00","-0.357","-","-0.576"
"1938/09/19","05:00","-0.019","-","-0.271"
"1938/09/19","06:00","0.307","-","0.064"
"1938/09/19","07:00","0.552","-","0.308"
"1938/09/19","08:00","0.659","-","0.4"
"1938/09/19","09:00","0.579","-","0.339"
"1938/09/19","10:00","0.338","-","0.156"
"1938/09/19","11:00","0.04","-","-0.118"
"1938/09/19","12:00","-0.234","-","-0.393"
"1938/09/19","13:00","-0.468","-","-0.637"
"1938/09/19","14:00","-0.626","-","-0.789"
"1938/09/19","15:00","-0.614","-","-0.85"
"1938/09/19","16:00","-0.379","-","-0.637"
"1938/09/19","17:00","0.002","-","-0.301"
"1938/09/19","18:00","0.39","-","0.064"
"1938/09/19","19:00","0.692","-","0.43"
"1938/09/19","20:00","0.861","-","0.583"
"1938/09/19","21:00","0.854","-","0.583"
"1938/09/19","22:00","0.663","-","0.4"
"1938/09/19","23:00","0.362","-","0.095"
"1938/09/20","00:00","0.042","-","-0.179"
"1938/09/20","01:00","-0.268","-","-0.454"
"1938/09/20","02:00","-0.554","-","-0.698"
"1938/09/20","03:00","-0.727","-","-0.911"
"1938/09/20","04:00","-0.678","-","-0.911"
"1938/09/20","05:00","-0.407","-","-0.698"
"1938/09/20","06:00","-0.03","-","-0.362"
"1938/09/20","07:00","0.335","-","0.003"
"1938/09/20","08:00","0.618","-","0.308"
"1938/09/20","09:00","0.752","-","0.491"
"1938/09/20","10:00","0.681","-","0.43"
"1938/09/20","11:00","0.435","-","0.247"
"1938/09/20","12:00","0.111","-","-0.027"
"1938/09/20","13:00","-0.214","-","-0.332"
"1938/09/20","14:00","-0.511","-","-0.576"
"1938/09/20","15:00","-0.712","-","-0.819"
"1938/09/20","16:00","-0.704","-","-0.911"
"1938/09/20","17:00","-0.447","-","-0.759"
"1938/09/20","18:00","-0.039","-","-0.362"
"1938/09/20","19:00","0.375","-","0.064"
"1938/09/20","20:00","0.708","-","0.461"
"1938/09/20","21:00","0.906","-","0.644"
"1938/09/20","22:00","0.911","-","0.674"
"1938/09/20","23:00","0.714","-","0.491"
"1938/09/21","00:00","0.39","-","0.247"
"1938/09/21","01:00","0.027","-","-0.088"
"1938/09/21","02:00","-0.338","-","-0.423"
"1938/09/21","03:00","-0.661","-","-0.728"
"1938/09/21","04:00","-0.83","-","-0.911"
"1938/09/21","05:00","-0.742","-","-0.941"
"1938/09/21","06:00","-0.425","-","-0.606"
"1938/09/21","07:00","-0.006","-","-0.149"
"1938/09/21","08:00","0.4","-","0.186"
"1938/09/21","09:00","0.718","-","0.552"
"1938/09/21","10:00","0.869","-","0.705"
"1938/09/21","11:00","0.789","-","0.613"
"1938/09/21","12:00","0.513","-","0.339"
"1938/09/21","13:00","0.143","-","0.034"
"1938/09/21","14:00","-0.239","-","-0.24"
"1938/09/21","15:00","-0.584","-","-0.515"
"1938/09/21","16:00","-0.802","-","-0.698"
"1938/09/21","17:00","-0.776","-","-0.698"
"1938/09/21","18:00","-0.488","-","-0.454"
"1938/09/21","19:00","-0.054","-","0.064"
"1938/09/21","20:00","0.385","-","0.796"
"1938/09/21","21:00","0.746","-","1.375"
"1938/09/21","22:00","0.961","-","0.552"
"1938/09/21","23:00","0.958","-","-0.088"
"1938/09/22","00:00","0.731","-","-0.759"
"1938/09/22","01:00","0.366","-","-0.911"
"1938/09/22","02:00","-0.041","-","-0.24"
"1938/09/22","03:00","-0.442","-","-0.21"
"1938/09/22","04:00","-0.772","-","-0.759"
"1938/09/22","05:00","-0.909","-","-1.368"
"1938/09/22","06:00","-0.768","-","-1.49"
"1938/09/22","07:00","-0.4","-","-1.368"
"1938/09/22","08:00","0.06","-","-1.033"
"1938/09/22","09:00","0.501","-","-0.423"
"1938/09/22","10:00","0.841","-","0.522"
"1938/09/22","11:00","0.983","-","0.735"
"1938/09/22","12:00","0.867","-","0.583"
"1938/09/22","13:00","0.543","-","0.156"
"1938/09/22","14:00","0.126","-","-0.24"
"1938/09/22","15:00","-0.296","-","-0.667"
"1938/09/22","16:00","-0.665","-","-0.911"
"1938/09/22","17:00","-0.875","-","-1.002"
"1938/09/22","18:00","-0.816","-","-1.033"
"1938/09/22","19:00","-0.494","-","-0.88"
"1938/09/22","20:00","-0.035","-","-0.454"
"1938/09/22","21:00","0.425","-","0.003"
"1938/09/22","22:00","0.799","-","0.461"
"1938/09/22","23:00","1.005","-","0.735"
"1938/09/23","00:00","0.966","-","0.765"
"1938/09/23","01:00","0.692","-","0.43"
"1938/09/23","02:00","0.288","-","-0.027"
"1938/09/23","03:00","-0.145","-","-0.423"
"1938/09/23","04:00","-0.554","-","-0.759"
"1938/09/23","05:00","-0.862","-","-1.002"
"1938/09/23","06:00","-0.947","-","-1.094"
"1938/09/23","07:00","-0.744","-","-0.911"
"1938/09/23","08:00","-0.325","-","-0.484"
"1938/09/23","09:00","0.168","-","-0.027"
"1938/09/23","10:00","0.627","-","0.4"
"1938/09/23","11:00","0.959","-","0.644"
"1938/09/23","12:00","1.061","-","0.674"
"1938/09/23","13:00","0.889","-","0.43"
"1938/09/23","14:00","0.516","-","0.034"
"1938/09/23","15:00","0.069","-","-0.393"
"1938/09/23","16:00","-0.37","-","-0.728"
"1938/09/23","17:00","-0.736","-","-1.033"
"1938/09/23","18:00","-0.917","-","-1.216"
"1938/09/23","19:00","-0.814","-","-1.185"
"1938/09/23","20:00","-0.455","-","-0.911"
"1938/09/23","21:00","0.022","-","-0.423"
"1938/09/23","22:00","0.486","-","0.095"
"1938/09/23","23:00","0.845","-","0.522"